px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
9.48878	-13.1288	2.95251	-1.93253	-0.643272	9.34456	-12.7106	9.3	-12.65	-0.909773	-1.81953	8.76881
9.39696	-13.2292	2.91899	-1.98471	-0.661681	9.22134	-12.7613	9.25	-12.75	-0.909773	-1.81954	0
9.20584	-13.3363	2.90632	-2.13205	-0.795701	9.15326	-13.0031	9.05	-12.85	-3.99257	-1.99629	45.2765
9.07589	-13.409	2.87754	-2.20074	-0.823538	8.84161	-12.9519	8.85	-12.95	-3.99253	-1.99627	0
8.89899	-13.5053	2.87276	-2.31747	-0.905672	8.71632	-12.9613	8.75	-13	-1.8213	-0.910651	16.605
8.76528	-13.5589	2.83862	-2.38767	-0.928607	8.66358	-13.0431	8.65	-13.05	-1.8213	-0.910651	0
8.5861	-13.6194	2.84087	-2.5052	-1.01071	8.54518	-13.1702	8.5	-13.1	-2.997	-0.999005	15.6065
8.44576	-13.6426	2.8112	-2.57967	-1.03602	8.35763	-13.1557	8.35	-13.15	-2.997	-0.998995	0
8.23629	-13.6737	2.82044	-2.7176	-1.12927	8.22926	-13.1698	8.2	-13.15	-2.72741	0	20.388
8.07484	-13.6675	2.78997	-2.80716	-1.15844	8.03583	-13.1513	8.05	-13.15	-2.72742	0	0
7.89005	-13.6756	2.79423	-2.91489	-1.2072	7.82914	-13.0525	7.9	-13.15	-2.72986	0	8.04412
7.73258	-13.6411	2.76579	-3.00806	-1.23624	7.76538	-13.1647	7.75	-13.15	-2.72986	0	0
7.61562	-13.6679	2.74982	-3.04143	-1.20178	7.66146	-13.3079	7.6	-13.2	-2.9979	-0.999304	5.62813
7.46681	-13.6231	2.73241	-3.12927	-1.22856	7.44786	-13.2517	7.45	-13.25	-2.9979	-0.999304	0
7.30778	-13.6011	2.73051	-3.20911	-1.23958	7.21108	-13.0985	7.3	-13.25	-2.72846	0	2.88425
7.15356	-13.5384	2.71724	-3.3022	-1.26327	7.16011	-13.2382	7.15	-13.25	-2.72844	0	0
7.00056	-13.4721	2.72895	-3.40219	-1.30194	6.88472	-12.9588	7	-13.2	-2.99784	0.999284	6.45982
6.86547	-13.392	2.72142	-3.49015	-1.32223	6.84891	-13.1493	6.85	-13.15	-2.99784	0.999284	0
6.72851	-13.3359	2.71816	-3.56088	-1.31953	6.77424	-13.2337	6.7	-13.1	-2.72787	0.909275	0.190056
6.59109	-13.2396	2.71595	-3.65145	-1.33451	6.55759	-13.0679	6.55	-13.05	-2.72787	0.909284	0
6.47425	-13.1912	2.68467	-3.69107	-1.29509	6.40137	-13.0799	6.4	-13.05	-2.72678	0	12.0463
6.34304	-13.102	2.68985	-3.76676	-1.29686	6.26174	-13.0534	6.25	-13.05	-2.72678	0	0
6.22914	-13.0269	2.67303	-3.82138	-1.27755	6.10143	-13.0076	6.1	-13	-2.72966	0.909888	3.57868
6.09922	-12.9385	2.68505	-3.88477	-1.26803	5.94198	-12.9494	5.95	-12.95	-2.72963	0.90988	0
5.99618	-12.8282	2.70838	-3.96385	-1.28492	5.79854	-12.8478	5.8	-12.85	-2.99777	1.99851	4.69597
5.87794	-12.7373	2.72553	-4.01575	-1.2693	5.65107	-12.7365	5.65	-12.75	-2.99778	1.99852	0
5.78904	-12.6354	2.69522	-4.06926	-1.25006	5.50547	-12.5721	5.55	-12.7	-1.81798	0.908995	10.9728
5.66394	-12.5492	2.71028	-4.10715	-1.2201	5.43839	-12.652	5.45	-12.65	-1.81799	0.908995	0
5.57536	-12.4244	2.71882	-4.17238	-1.21814	5.27506	-12.4782	5.3	-12.55	-2.72627	1.81753	0.868718
5.4395	-12.3429	2.737	-4.19192	-1.17377	5.1307	-12.4684	5.15	-12.45	-2.72625	1.8175	0
5.36426	-12.2222	2.72612	-4.24719	-1.16502	5.04446	-12.3808	5.05	-12.35	-1.8199	1.81989	2.22361
5.23132	-12.1352	2.74101	-4.2599	-1.11869	4.92985	-12.2499	4.95	-12.25	-1.81991	1.8199	0
5.16395	-12.0125	2.74532	-4.31013	-1.11268	4.75061	-11.9803	4.85	-12.15	-1.99928	1.99929	1.32827
5.04063	-11.9342	2.75486	-4.3123	-1.06613	4.75915	-12.0666	4.75	-12.05	-1.99928	1.99928	0
4.97329	-11.7983	2.76028	-4.36333	-1.05944	4.69113	-11.9084	4.7	-11.9	-0.908236	2.72471	0.807092
4.86639	-11.6854	2.76774	-4.38162	-1.02467	4.64378	-11.7442	4.65	-11.75	-0.908231	2.7247	0
4.82834	-11.5496	2.74534	-4.43821	-1.02593	4.59746	-11.6205	4.6	-11.65	-0.909847	1.81971	5.72005
4.73205	-11.4414	2.74389	-4.45233	-0.991358	4.54975	-11.5706	4.55	-11.55	-0.909843	1.81969	0
4.64619	-11.3038	2.79545	-4.47299	-0.962343	4.47442	-11.3673	4.5	-11.35	-1.0008	4.0032	28.64
4.58107	-11.1757	2.80163	-4.50023	-0.943937	4.44059	-11.1496	4.45	-11.15	-1.0008	4.00321	0
4.5761	-11.0295	2.77589	-4.56592	-0.959016	4.43713	-11.024	4.45	-11.05	0	1.81614	8.78143
4.53198	-10.8902	2.7744	-4.60195	-0.945418	4.45136	-10.93	4.45	-10.95	0	1.81612	0
4.51419	-10.7403	2.77465	-4.6507	-0.942582	4.44745	-10.786	4.45	-10.8	0	2.72555	0.0675221
4.49476	-10.5971	2.77094	-4.69315	-0.935437	4.45788	-10.6457	4.45	-10.65	0	2.72554	0
4.49346	-10.449	2.76844	-4.74269	-0.93433	4.46329	-10.5756	4.45	-10.5	0	2.729	0.177737
4.48674	-10.3044	2.76545	-4.78454	-0.926981	4.44057	-10.3382	4.45	-10.35	0	2.72898	0
4.5077	-10.1556	2.76196	-4.83987	-0.93198	4.51895	-10.2367	4.5	-10.2	0.908962	2.72687	0.185469
4.53374	-10.0093	2.75909	-4.89246	-0.933545	4.54925	-10.0439	4.55	-10.05	0.908954	2.72685	0
4.56349	-9.86356	2.75789	-4.94195	-0.931471	4.63224	-9.9707	4.6	-9.9	0.909756	2.72927	0.229313
4.6087	-9.71984	2.75586	-4.99701	-0.934972	4.63755	-9.74952	4.65	-9.75	0.909752	2.72926	0
4.62683	-9.56971	2.76133	-5.02586	-0.909945	4.60757	-9.4335	4.7	-9.6	0.90859	2.72578	1.78596
4.69094	-9.42939	2.76015	-5.08366	-0.916419	4.74589	-9.4609	4.75	-9.45	0.908586	2.72576	0
4.76287	-9.29324	2.75865	-5.14343	-0.925843	4.89179	-9.39473	4.85	-9.3	1.81967	2.72952	0.401636
4.853	-9.15489	2.76349	-5.20696	-0.93518	4.94849	-9.13867	4.95	-9.15	1.81967	2.72951	0
4.93378	-9.03505	2.76558	-5.264	-0.946213	4.95209	-8.96272	5	-9.05	0.999884	1.99977	0.32543
5.01487	-8.92253	2.76439	-5.31487	-0.949248	5.04121	-8.94979	5.05	-8.95	0.999874	1.99974	0
5.09067	-8.79784	2.76154	-5.35309	-0.932581	5.20806	-8.88942	5.15	-8.8	1.81805	2.72708	1.00956
5.19849	-8.67463	2.76785	-5.41077	-0.936391	5.26887	-8.63564	5.25	-8.65	1.81803	2.72705	0
5.29826	-8.57256	2.76961	-5.46391	-0.942684	5.3785	-8.56768	5.35	-8.55	1.99956	1.99957	0.131431
5.40294	-8.46921	2.77502	-5.51378	-0.943715	5.44864	-8.42738	5.45	-8.45	1.99954	1.99954	0
5.49574	-8.35988	2.76888	-5.54559	-0.920198	5.56465	-8.44845	5.5	-8.35	0.909045	1.81807	1.50343
5.59987	-8.25727	2.76669	-5.5904	-0.91618	5.53862	-8.24357	5.55	-8.25	0.909045	1.81808	0
5.68143	-8.14096	2.75806	-5.60168	-0.871799	5.64921	-8.02513	5.7	-8.1	2.72608	2.72608	4.23534
5.80667	-8.0378	2.76638	-5.64846	-0.869171	5.85094	-7.95601	5.85	-7.95	2.72606	2.72606	0
5.90285	-7.93003	2.7588	-5.66405	-0.831839	5.93492	-7.84119	5.95	-7.85	1.81801	1.81801	3.20226
6.03033	-7.83128	2.7672	-5.70578	-0.827061	6.05986	-7.73559	6.05	-7.75	1.81802	1.81801	0
6.12455	-7.7232	2.75574	-5.71021	-0.779404	6.13741	-7.63243	6.15	-7.65	1.81798	1.81798	5.36168
6.25184	-7.63014	2.76189	-5.74729	-0.773785	6.25659	-7.54336	6.25	-7.55	1.81798	1.81798	0
6.35452	-7.52891	2.75094	-5.75308	-0.730598	6.39143	-7.46358	6.35	-7.45	1.82027	1.82027	4.64947
6.48011	-7.44144	2.75416	-5.78574	-0.724302	6.452	-7.36418	6.45	-7.35	1.82025	1.82025	0
6.59093	-7.3612	2.75371	-5.80807	-0.710036	6.47916	-7.09783	6.6	-7.25	2.99862	1.99908	1.2011
6.71643	-7.2786	2.76475	-5.83505	-0.701613	6.7556	-7.14598	6.75	-7.15	2.99862	1.99908	0
6.79791	-7.15507	2.73935	-5.79987	-0.615639	6.68682	-6.93297	6.8	-7.05	0.908005	1.816	19.6959
6.9218	-7.06466	2.74255	-5.82112	-0.605457	6.86356	-6.94732	6.85	-6.95	0.908	1.81601	0
7.05011	-6.98817	2.73971	-5.8418	-0.590483	7.08741	-6.92602	7	-6.85	2.72856	1.81904	0.625194
7.1806	-6.89796	2.74689	-5.86011	-0.578577	7.15695	-6.75136	7.15	-6.75	2.72854	1.81902	0
7.27903	-6.78857	2.72601	-5.83292	-0.508176	7.29976	-6.68807	7.25	-6.65	1.8202	1.8202	13.9877
7.405	-6.6975	2.73046	-5.84597	-0.496155	7.35505	-6.56058	7.35	-6.55	1.82018	1.82018	0
7.54273	-6.65304	2.73997	-5.88925	-0.519453	7.53544	-6.5372	7.5	-6.5	2.99964	0.999884	2.06616
7.66624	-6.57936	2.74592	-5.90396	-0.510082	7.65664	-6.46417	7.65	-6.45	2.99964	0.999884	0
7.78733	-6.49866	2.736	-5.90401	-0.478088	7.67559	-6.34628	7.75	-6.4	1.81709	0.908549	3.07093
7.91802	-6.42915	2.73496	-5.921	-0.471005	7.85193	-6.35845	7.85	-6.35	1.81709	0.908545	0
8.04363	-6.35554	2.72598	-5.92242	-0.44209	8.03231	-6.28406	8	-6.25	2.72931	1.81954	2.5344
8.17695	-6.27624	2.7302	-5.93183	-0.430093	8.13749	-6.14586	8.15	-6.15	2.72928	1.81952	0
8.27325	-6.18321	2.71108	-5.90193	-0.369668	8.21488	-6.01843	8.25	-6.05	1.99977	1.99976	11.3198
8.3902	-6.10062	2.71528	-5.90262	-0.355437	8.33626	-5.94674	8.35	-5.95	1.99977	1.99976	0
8.53293	-6.0465	2.71995	-5.92692	-0.362738	8.50318	-5.89335	8.5	-5.9	2.72796	0.909326	0.619611
8.6703	-5.97196	2.72495	-5.93464	-0.352782	8.65894	-5.86309	8.65	-5.85	2.72796	0.909321	0
