px	py	v	yaw_angle	yaw_rate	px_measured	py_measured	px_true	py_true	vx_true	vy_true	NIS
8.76842	-7.23598	-2.74854	2.29311	0.215247	8.64403	-7.39047	8.65	-7.4	1.99807	-2.99712	6.66679
8.81894	-7.38809	-2.75359	2.25925	0.171942	8.73559	-7.5421	8.75	-7.55	1.99808	-2.99712	1.8538
8.89156	-7.51503	-2.73775	2.24545	0.144063	8.87176	-7.71912	8.8	-7.65	0.909955	-1.8199	5.02999
8.9475	-7.66785	-2.73806	2.21669	0.108672	8.84538	-7.75497	8.85	-7.75	0.909946	-1.81988	1.11382
9.0262	-7.78287	-2.74134	2.21863	0.106582	8.88333	-7.88636	8.9	-7.9	0.999086	-2.9973	0.441943
9.06708	-7.93206	-2.74318	2.18345	0.0676636	8.95966	-8.0381	8.95	-8.05	0.999095	-2.9973	1.40292
9.11487	-8.06233	-2.71837	2.15424	0.0271593	8.8564	-8.01424	9	-8.15	0.909309	-1.8186	7.45451
9.16403	-8.20931	-2.71606	2.12803	0.00058333	9.05896	-8.24314	9.05	-8.25	0.909301	-1.81859	0.729827
9.23869	-8.32865	-2.72241	2.13038	0.00543745	9.17781	-8.47056	9.1	-8.4	1.0004	-3.00119	0.581584
9.26966	-8.47574	-2.72299	2.09455	-0.0288863	9.15332	-8.54857	9.15	-8.55	1.00038	-3.00117	1.15343
9.31242	-8.61519	-2.70706	2.06157	-0.0684447	9.22922	-8.6898	9.2	-8.65	0.909508	-1.819	4.79373
9.35131	-8.76186	-2.7039	2.03423	-0.0909956	9.24541	-8.76863	9.25	-8.75	0.9095	-1.81899	0.650095
9.48433	-8.86868	-2.74503	2.10562	0.0106642	9.37748	-9.00609	9.35	-8.95	1.99965	-3.99928	32.5036
9.51773	-9.02311	-2.75285	2.0714	-0.0215862	9.44703	-9.15328	9.45	-9.15	1.99964	-3.99928	1.3016
9.56384	-9.15034	-2.74452	2.0507	-0.0461232	9.50096	-9.25642	9.5	-9.25	0.999584	-1.99917	1.84609
9.60224	-9.29179	-2.74763	2.02682	-0.0662772	9.54157	-9.35195	9.55	-9.35	0.999584	-1.99917	0.444161
9.64104	-9.41943	-2.7391	2.00426	-0.0900301	9.47534	-9.42627	9.55	-9.5	0	-3.00023	1.38905
